outcome,grouping,group,n,missing,mean,median,q25,q75,sd,skew,distinct_values,repeated_value_fraction
AI_Dependency_Index,Gender,Female,1050,0,3.7895238095238097,3.8,3.4,4.2,0.5658916228341453,-0.2123022876103169,17,0.9838095238095238
AI_Dependency_Index,Gender,Male,1112,0,3.6589928057553958,3.8,3.2,4.0,0.6401859484189366,-0.25980502152121243,19,0.9829136690647482
AI_Dependency_Index,University Type,Other,4,0,3.15,3.4000000000000004,2.95,3.6,0.6608075867199669,-1.5595074449133868,3,0.25
AI_Dependency_Index,University Type,Private University,1119,0,3.6686327077747998,3.8,3.2,4.0,0.6400532513923953,-0.27576804955379897,19,0.9830205540661304
AI_Dependency_Index,University Type,Public University,1039,0,3.782483156881617,3.8,3.4,4.2,0.5662651814629177,-0.19460283253531632,17,0.983638113570741
AI_Dependency_Index,Academic Level,Postgraduate,1015,0,3.7387192118226604,3.8,3.4,4.0,0.590647302267527,-0.26542371758906264,17,0.9832512315270936
AI_Dependency_Index,Academic Level,Undergraduate,1147,0,3.707933740191805,3.8,3.4,4.0,0.6239810562890147,-0.27854729377508197,18,0.984306887532694
Cognitive_Offloading_Index,Gender,Female,1050,0,3.8196190476190477,3.8,3.4,4.2,0.6365090740537497,-0.11166719841522735,17,0.9838095238095238
Cognitive_Offloading_Index,Gender,Male,1112,0,3.6928057553956832,3.8,3.2,4.2,0.7522318703149481,-0.37582366626613284,18,0.9838129496402878
Cognitive_Offloading_Index,University Type,Other,4,0,2.85,2.8,2.2,3.45,0.7549834435270749,0.06041726540998452,3,0.25
Cognitive_Offloading_Index,University Type,Private University,1119,0,3.719928507596068,3.8,3.4,4.2,0.7497796899324805,-0.4044260376314395,18,0.9839142091152815
Cognitive_Offloading_Index,University Type,Public University,1039,0,3.794995187680462,3.8,3.4,4.2,0.6404884147414762,-0.10882470431399972,18,0.9826756496631376
Cognitive_Offloading_Index,Academic Level,Postgraduate,1015,0,3.8072906403940894,3.8,3.4,4.2,0.6379717377182965,-0.12346283148332575,17,0.9832512315270936
Cognitive_Offloading_Index,Academic Level,Undergraduate,1147,0,3.7075850043591974,3.8,3.4,4.2,0.7498016087007195,-0.37973853770870214,18,0.984306887532694
