feature_set,model,fold,metric,value
A,Dummy,1,MAE,0.471507027948792
A,Dummy,2,MAE,0.4809988338996651
A,Dummy,3,MAE,0.4992526926886763
A,Dummy,4,MAE,0.517030080373152
A,Dummy,5,MAE,0.47033676803216884
A,Dummy,1,RMSE,0.5917313867992012
A,Dummy,2,RMSE,0.6043660121865879
A,Dummy,3,RMSE,0.6248652274704742
A,Dummy,4,RMSE,0.6372081655511352
A,Dummy,5,RMSE,0.6016793595092479
A,Dummy,1,R2,-0.0025975597186496113
A,Dummy,2,R2,-0.00044705721962512435
A,Dummy,3,R2,-0.04546561253489778
A,Dummy,4,R2,-0.007821348168534747
A,Dummy,5,R2,-0.0027217245078936525
A,Linear Regression,1,MAE,0.4588359103312166
A,Linear Regression,2,MAE,0.48435482039766936
A,Linear Regression,3,MAE,0.4881916649354473
A,Linear Regression,4,MAE,0.5092227022217429
A,Linear Regression,5,MAE,0.4584055166738337
A,Linear Regression,1,RMSE,0.5691221312734401
A,Linear Regression,2,RMSE,0.5990043523642251
A,Linear Regression,3,RMSE,0.6085635738931892
A,Linear Regression,4,RMSE,0.6275388267993456
A,Linear Regression,5,RMSE,0.5717305664253783
A,Linear Regression,1,R2,0.07255453938819467
A,Linear Regression,2,R2,0.017225223980221305
A,Linear Regression,3,R2,0.008371626825101286
A,Linear Regression,4,R2,0.022533028523067933
A,Linear Regression,5,R2,0.09461557215449745
A,Ridge,1,MAE,0.4549923829269161
A,Ridge,2,MAE,0.47835983089868905
A,Ridge,3,MAE,0.48268637713620555
A,Ridge,4,MAE,0.505498767773659
A,Ridge,5,MAE,0.45234610677597303
A,Ridge,1,RMSE,0.5649042596104131
A,Ridge,2,RMSE,0.5921501540382723
A,Ridge,3,RMSE,0.6026310832124339
A,Ridge,4,RMSE,0.6207701630542711
A,Ridge,5,RMSE,0.5658998320857274
A,Ridge,1,R2,0.0862505459163494
A,Ridge,2,R2,0.039587644500638786
A,Ridge,3,R2,0.027610872846773438
A,Ridge,4,R2,0.043505322002127755
A,Ridge,5,R2,0.11298834223901877
A,Random Forest,1,MAE,0.37106199312395116
A,Random Forest,2,MAE,0.3902424064551088
A,Random Forest,3,MAE,0.40697019615029095
A,Random Forest,4,MAE,0.42100380280063643
A,Random Forest,5,MAE,0.3614395203731439
A,Random Forest,1,RMSE,0.48203841764377053
A,Random Forest,2,RMSE,0.5036584133052725
A,Random Forest,3,RMSE,0.5210058571541141
A,Random Forest,4,RMSE,0.5412265822878561
A,Random Forest,5,RMSE,0.4753144977402578
A,Random Forest,1,R2,0.3346644398377301
A,Random Forest,2,R2,0.3051897265574389
A,Random Forest,3,R2,0.2731877332115098
A,Random Forest,4,R2,0.27292514361134657
A,Random Forest,5,R2,0.3742334856995865
A,Gradient Boosting,1,MAE,0.4142412628577814
A,Gradient Boosting,2,MAE,0.43670527433726697
A,Gradient Boosting,3,MAE,0.4474407518456789
A,Gradient Boosting,4,MAE,0.4613044708600827
A,Gradient Boosting,5,MAE,0.4122927174686983
A,Gradient Boosting,1,RMSE,0.5125859357841885
A,Gradient Boosting,2,RMSE,0.5419020215385403
A,Gradient Boosting,3,RMSE,0.553355750041088
A,Gradient Boosting,4,RMSE,0.5676374149789869
A,Gradient Boosting,5,RMSE,0.515948958418887
A,Gradient Boosting,1,R2,0.24766580223800538
A,Gradient Boosting,2,R2,0.19566755487960275
A,Gradient Boosting,3,R2,0.18012830828575854
A,Gradient Boosting,4,R2,0.200234039467599
A,Gradient Boosting,5,R2,0.2626669896956052
B,Dummy,1,MAE,0.471507027948792
B,Dummy,2,MAE,0.4809988338996651
B,Dummy,3,MAE,0.4992526926886763
B,Dummy,4,MAE,0.517030080373152
B,Dummy,5,MAE,0.47033676803216884
B,Dummy,1,RMSE,0.5917313867992012
B,Dummy,2,RMSE,0.6043660121865879
B,Dummy,3,RMSE,0.6248652274704742
B,Dummy,4,RMSE,0.6372081655511352
B,Dummy,5,RMSE,0.6016793595092479
B,Dummy,1,R2,-0.0025975597186496113
B,Dummy,2,R2,-0.00044705721962512435
B,Dummy,3,R2,-0.04546561253489778
